"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Science Diplomacy Center (ID 27253)","Science Diplomacy Center10.47555","open","2","3","false","true"
"Science Planet Inc. (ID 10491)","Science Planet Inc. 10.24870","open","295","4","true","true"
"Science Repository OU (ID 16472)","NatureLibrary10.47496","open","119","1426","true","true"
"Science Repository OU (ID 16472)","Science Repository OU10.31487","open","119","1426","true","true"
"Science Trends (ID 17269)","Science Trends10.31988","open","2567","98","true","true"
"ScienceOpen (ID 5403)","African Journal of Engineering and Technology10.47959","open","917","912","true","true"
"ScienceOpen (ID 5403)","African Minds10.47622","open","917","912","true","true"
"ScienceOpen (ID 5403)","ScienceOpen10.14293","open","917","912","true","true"
"SciencePower Publishing House LLC (ID 21727)","SciencePower Publishing House LLC10.36013","open","20","53","false","true"
"Sciengtex Publishing (ID 23313)","Sciengtex Publishing10.37121","open","11","50","false","true"
"SciEnPG (ID 24949)","SciEnPG10.38032","open","0","39","false","true"
"Scient Open Access (ID 21437)","Scient Open Access10.35862","open","0","11","false","true"
"Scientia Publishing House LTD (ID 14857)","Scientia Publishing House LTD10.32415","open","107","20","true","true"
"Scientia Socialis Ltd (ID 18684)","Scientia Socialis Ltd10.33225","open","222","390","true","true"
"Scientific and Research Institute of Providing Legal Framework for the Innovative Development (ID 24730)","Scientific and Research Institute of Providing Legal Framework for the Innovative Development10.37772","open","60","185","false","true"
"Scientific and Technological Communications LLC (ID 12146)","Scientific and Technological Communications LLC10.30694","open","42","32","true","true"
"Scientific Center for Biomedical Technologies of the Federal Medical-Biological Agency (ID 19397)","Scientific Center for Biomedical Technologies of the Federal Medical-Biological Agency10.33647","open","0","73","false","true"
"Scientific Club SOPHUS (ID 22773)","Scientific Club ""SOPHUS""10.36742","open","0","86","false","true"
"Scientific Educational Studies (ID 17037)","Scientific Educational Studies10.31798","open","5","11","true","true"
"Scientific Horizons (ID 28116)","Scientific Horizons10.48077","open","0","42","false","true"
"Scientific Information Agency 'Science-technologies-information' (ID 19667)","Scientific Information Agency Science-technologies-information10.33930","open","108","190","true","true"
"Scientific Journal Publishers Ltd (ID 1070)","Scientific Journal Publishers10.2224","open","3498","385","true","false"
"Scientific Production Company Doza, Ltd (ID 23764)","Scientific Production Company Doza, Ltd10.37414","open","0","38","false","true"
"Scientific Research Center Lukomorie (ID 19576)","Scientific Research Center Lukomorie10.33782","open","0","249","false","true"
"Scientific Research Center Of Environmental Engineering And Construction (ID 21312)","Scientific Research Center Of Environmental Engineering And Construction10.35688","open","90","19","false","true"
"Scientific Research Institute - Ochapovsky Regional Clinical Hospital No 1 (ID 20858)","Scientific Research Institute - Ochapovsky Regional Clinical Hospital No 110.35401","open","0","92","false","true"
"Scientific Research Institute of Oil and Gas Industry of National Joint-Stock Company Naftogaz of Ukraine (ID 18151)","Scientific Research Institute of Oil and Gas Industry of National Joint-Stock Company Naftogaz of Ukraine10.32822","open","20","17","true","true"
"Scientific Research Institute-Federal Research Center for Project Evaluation and Consulting Services (ID 20550)","Scientific Research Institute-Federal Research Center for Project Evaluation and Consulting Services10.35264","open","0","103","false","true"
"Scientific Scholar (ID 10894)","Scientific Scholar10.25259","open","7339","2643","true","true"
"Scientific Technologies LLC (ID 24785)","Scientific Technologies LLC10.37882","open","0","1789","false","true"
"SCIO Publishing (ID 26219)","SCIO Publishing10.48216","open","0","15","false","true"
"Scion (ID 18777)","Scion10.33494","open","152","28","true","true"
"SciPress Ltd (ID 7446)","SciPress Ltd.10.18052","open","3531","244","true","true"
"SciRes Literature LLC (ID 17842)","SciRes Literature LLC10.37871","open","2","152","false","true"
"Sciscan Publishing Limited (ID 21051)","Sciscan Publishing Limited10.35534","open","10","1275","false","true"
"SciVision Publishers LLC (ID 18988)","SciVision Publishers LLC10.33425","open","561","894","false","true"
"Scrivener Publishing (ID 4384)","Scrivener Publishing10.7569","open","220","30","true","false"
"SDU International Journal of Educational Studies (ID 19508)","SDU International Journal of Educational Studies10.33710","open","0","36","false","true"
"SE Dnipropetrovsk Medical Academy of Health Ministry of Ukraine (ID 11190)","SE Dnipropetrovsk Medical Academy of Health Ministry of Ukraine10.26641","open","1090","348","false","true"
"Seagull Publications (ID 21567)","Seagull Publications10.35935","open","88","63","true","true"
"Sechenov University (ID 26692)","Sechenov University10.47093","open","20","55","true","true"
"Secretariat of The Indonesian Biomedical Journal (ID 7890)","Secretariat of The Indonesian Biomedical Journal10.18585","open","229","110","true","false"
"SEDERI (ID 19844)","SEDERI10.34136","open","7","15","true","true"
"SEISENSE Private, Ltd. (ID 18746)","SEISENSE Private, Ltd.10.33215","open","8","80","true","true"
"Sejong University Language Research Institute (ID 9716)","Sejong University Language Research Institute10.22425","open","187","18","true","true"
"Sekolah Tinggi Ilmu Kesehatan Jembrana (ID 18136)","Sekolah Tinggi Ilmu Kesehatan Jembrana10.32805","open","12","12","true","false"
"Sekolah Tinggi Ilmu Pertanian Muhammadiyah Sinjai (ID 19913)","Sekolah Tinggi Ilmu Pertanian Muhammadiyah Sinjai10.34003","open","59","16","false","true"
"Sekolah Tinggi Ilmu Pertanian Wuna (ID 11784)","Sekolah Tinggi Ilmu Pertanian Wuna10.29239","open","248","163","true","true"
"Sekolah Tinggi Pertanian Kutai Timur (ID 21921)","Sekolah Tinggi Pertanian Kutai Timur10.36084","open","36","49","false","true"
"Sekolah Tinggi Teologi Intheos Surakarta (ID 12094)","Sekolah Tinggi Teologi Intheos Surakarta10.30648","open","33","45","true","false"
"Selcuk Universitesi Fen Fakultesi Fen Dergisi (ID 20502)","Selcuk Universitesi Fen Fakultesi Fen Dergisi10.35238","open","0","12","false","true"
"Selva Andina Research Society (ID 22520)","Selva Andina Research Society10.36610","open","227","122","true","true"
"Serenity-group (ID 29476)","Serenity-group10.52013","open","0","640","false","true"
"Sergii Iermakov (ID 6188)","Sergii Iermakov10.15561","open","632","225","true","true"
"Sergo Ordshonikidze University (ID 17614)","Sergo Ordshonikidze University10.32454","open","137","114","true","true"
"Servicio de Publicaciones de la Universidad Autonoma de Madrid (ID 6788)","Servicio de Publicaciones de la Universidad Autonoma de Madrid10.15366","open","2457","1437","true","true"
"Servicio Geologico Colombiano (ID 17796)","Servicio Geologico Colombiano10.32685","open","924","127","false","true"
"Servicios Academicos Intercontinentales S.L. (ID 29264)","Servicios Academicos Intercontinentales S.L.10.51896","open","0","19","false","true"
"SFSCA RAS (ID 11441)","SFSCA RAS10.26898","open","75","183","true","true"
"SHEI Ukrainian State University of Chemical Technology (ID 17567)","SHEI Ukrainian State University of Chemical Technology10.32434","open","71","367","true","true"
"Shevchenko Institute of Literature of the National Academy of Sciences of Ukraine (ID 19344)","Shevchenko Institute of Literature of the National Academy of Sciences of Ukraine10.33608","open","0","146","false","true"
"Shevchenko Scientific Society (ID 24800)","Shevchenko Scientific Society10.37827","open","20","33","true","true"
"Shorenstein Center for Media, Politics, and Public Policy (ID 23059)","Shorenstein Center for Media, Politics, and Public Policy10.37016","open","0","63","false","true"
"SI - Scientific Online Journal (ID 25992)","SI - Scientific Online Journal10.46627","open","0","40","false","true"
"Siapec Servizi Srl (ID 21774)","Siapec Servizi Srl10.32074","open","0","74","false","true"
"Siberian Research (ID 18868)","Siberian Research10.33384","open","0","39","false","true"
"Siberian State Automobile and Highway University (SibADI) (ID 11048)","Siberian State Automobile and Highway University (SibADI)10.26518","open","218","141","true","true"
"Siberian State Medical University (ID 8418)","Siberian State Medical University10.20538","open","1446","228","true","true"
"Siberian State University of Geosystems and Technologies (ID 19544)","Siberian State University of Geosystems and Technologies10.33764","open","0","1252","false","true"
"SIELAE - Seminario Interdisciplinar (ID 28837)","SIELAE - Seminario Interdisciplinar10.51472","open","0","17","false","true"
"Siirt Universitesi Ilahiyat Fakultesi Dergisi (ID 27156)","Siirt Universitesi Ilahiyat Fakultesi Dergisi10.47425","open","0","10","false","true"
"Siirt University (ID 28108)","Siirt University10.48064","open","0","7","false","true"
"Silicea - Poligraf, LLC (ID 6499)","Silicea - Poligraf, LLC10.15829","open","1833","931","true","true"
"SineFilozofi (ID 15933)","SineFilozofi10.31122","open","28","98","true","true"
"Sinema Arastirmalari Dergisi (ID 17320)","Sinema Arastirmalari Dergisi10.32001","open","10","66","true","true"
"Singapore Medical Journal (ID 4946)","Singapore Medical Journal10.11622","open","1082","417","true","true"
"Sinop Universitesi Fen Bilimleri Dergisi (ID 19144)","Sinop Universitesi Fen Bilimleri Dergisi10.33484","open","5","39","true","true"
"Sinop Universitesi Sosyal Bilimler Dergisi (ID 12008)","Sinop Universitesi Sosyal Bilimler Dergisi10.30561","open","36","43","true","true"
"Siree Journals (ID 27583)","Siree Journals10.47750","open","126","581","true","true"
"Sirnak Universitesi Iktisadi ve Idari Yaklasimlar Dergisi (ID 26724)","Sirnak Universitesi Iktisadi ve Idari Yaklasimlar Dergisi10.47138","open","0","6","false","true"
"Sirnak Universitesi Ilahiyat Fakultesi Dergisi (ID 20902)","Sirnak Universitesi Ilahiyat Fakultesi Dergisi10.35415","open","0","72","false","true"
"Sistema de Estudios de Postgrado de la Universidad de San Carlos de Guatemala (ID 23077)","Sistema de Estudios de Postgrado de la Universidad de San Carlos de Guatemala10.36958","open","10","20","true","true"
"SixScientia Resources (ID 24797)","SixScientia Resources10.37865","open","0","27","false","true"
"SkepticMed Publishers (ID 26055)","SkepticMed Publishers10.46715","open","1","26","true","true"
"Skies Educational (ID 27505)","Skies Educational10.47721","open","0","18","false","true"
"Skobelkin State Scientific Center of Laser Medicine (ID 24932)","Skobelkin State Scientific Center of Laser Medicine10.37895","open","0","23","false","true"
"Smithsonian Institution (ID 3444)","Smithsonian Institution10.5479","open","156662","215","true","false"
"Smithsonian Institution (ID 3444)","Smithsonian Institution Biodiversity Heritage Library10.5962","open","156662","215","true","false"
"SOBEST Associacao Brasileira de Estomaterapia (ID 12340)","SOBEST Associacao Brasileira de Estomaterapia10.30886","open","69","171","true","true"
"Social Integration Research Center, Kangwon National University (ID 26389)","Social Integration Research Center, Kangwon National University10.46907","open","0","11","false","true"
"Social Science Research Institute - Locality and Globality - Korean Journal of Social Sciences (ID 18517)","Social Science Research Institute - Locality and Globality - Korean Journal of Social Sciences10.33071","open","210","35","true","false"
"Social Sciences: Theory and Practice (ID 28111)","Social Sciences: Theory and Practice10.48066","open","0","8","false","true"
"Sociedad Argentina de Genetica (ID 20804)","Sociedad Argentina de Genetica10.35407","open","0","39","false","true"
"Sociedad Chilena de Educacion Matematica (ID 25323)","Sociedad Chilena de Educacion Matematica10.46219","open","0","14","false","true"
"Sociedad Chilena de Pediatria (ID 17639)","Sociedad Chilena de Pediatria10.32641","open","4029","231","true","false"
"Sociedad Colombiana de Mastozoologia (ID 27315)","Sociedad Colombiana de Mastozoologia10.47603","open","93","51","true","true"
"Sociedad de Lucha contra el Cancer del Ecuador - Matriz Guayaquil (ID 19383)","Sociedad de Lucha contra el Cancer del Ecuador - Matriz Guayaquil10.33821","open","40","15","true","false"
"Sociedad de Neurocirugia de Chile (ID 22548)","Sociedad de Neurocirugia de Chile10.36593","open","6","157","false","true"
"Sociedad Espanola de Ciencias Forestales (ID 14916)","Sociedad Espanola de Ciencias Forestales10.31167","open","157","50","true","true"
"Sociedad Espanola de Enfermeria Nefrologica (ID 23769)","Sociedad Espanola de Enfermeria Nefrologica10.37551","open","267","55","true","true"
"Sociedad Espanola de Imagen Cardiaca (ID 24529)","Sociedad Espanola de Imagen Cardiaca10.37615","open","0","35","false","true"
"Sociedad Espanola de Medicina Interna (SEMI) (ID 18147)","Sociedad Espanola de Medicina Interna - SEMI10.32818","open","14","92","true","true"
"Sociedad Espanola de Quimioterapia (ID 23328)","Sociedad Espanola de Quimioterapia10.37201","open","1","121","false","true"
"Sociedad Medica Ecuatoriana de Neurologia (ID 26340)","Sociedad Medica Ecuatoriana de Neurologia10.46997","open","0","70","false","true"
"Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein (ID 16942)","Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein10.31744","open","27","280","true","true"
"Sociedade Brasileira de Cardiologia (ID 22636)","Sociedade Brasileira de Cardiologia10.36660","open","1648","895","false","true"
"Sociedade Brasileira de Educacao Matematica (ID 23145)","Sociedade Brasileira de Educacao Matematica10.37001","open","60","171","true","true"
"Sociedade Brasileira de Enfermeiros Pediatras (ID 16580)","Sociedade Brasileira de Enfermeiros Pediatras10.31508","open","21","31","true","true"
"Sociedade Brasileira de Medicina de Familia e Comunidade (SBMFC) (ID 3837)","Sociedade Brasileira de Medicina de Familia e Comunidade10.5712","open","676","121","true","true"
"Sociedade Cientifica de Pedagogia do Desporto (ID 27454)","Sociedade Cientifica de Pedagogia do Desporto10.47863","open","0","27","false","true"
"Sociedade Paranaense de Matematica (ID 3257)","Sociedade Paranaense de Matematica10.5269","open","558","174","true","true"
"Societatea Paleontologilor din Romania (ID 20494)","Societatea Paleontologilor din Romania10.35463","open","0","31","false","true"
"Societatea Romana de Cardiologie (ID 27723)","Societatea Romana de Cardiologie10.47803","open","0","54","false","true"
"Societe Algerienne de Nutrition (ID 15195)","Societe Algerienne de Nutrition10.30952","open","56","26","false","true"
"Societe Coreenne de la Litterature Classique Francaise (ID 21838)","Societe Coreenne de la Litterature Classique Francaise10.36032","open","63","7","true","false"
"Societe de Reanimation de Langue Francaise (ID 23109)","Societe de Reanimation de Langue Francaise10.37051","open","135","104","true","true"
"Societe entomologique de France (ID 17575)","Societe entomologique de France10.32475","open","379","113","true","true"
"Societe Internationale dUrologie (ID 28054)","Societe Internationale dUrologie10.48083","open","0","32","false","true"
"Society for Clinical Epidemiology (ID 24670)","Society for Clinical Epidemiology10.37737","open","0","37","false","true"
"Society for Clinical Management (ID 27830)","Society for Clinical Management10.47912","open","0","9","false","true"
"Society for Industrial & Applied Mathematics (SIAM) (ID 351)","Society for Industrial and Applied Mathematics10.1137","open","61703","5305","true","true"
"Society for Industrial and Systems Engineering (ID 22418)","Society for Industrial and Systems Engineering10.37266","open","82","37","true","false"
"Society for Korean Literature in Classical Chinese (ID 11977)","Society for Korean Literature in Classical Chinese10.30527","open","355","42","true","false"
"Society for Meridian and Acupoint (ID 5533)","Society for Meridian and Acupoint10.14406","open","173","62","true","true"
"Society for Music Theory (ID 11983)","Society for Music Theory10.30535","open","578","97","true","true"
"Society for Philosophy of Emotion (ID 19003)","Society for Philosophy of Emotion10.33497","open","0","27","false","true"
"Society for Reformed Life Theology (ID 18615)","Society for Reformed Life Theology10.33135","open","52","19","true","false"
"Society of Basic and Applied Physiology (ID 27389)","Society of Basic and Applied Physiology10.47713","open","0","1","false","true"
"Society of Exploration Geophysicists (ID 186)","Environmental and Engineering Geophysical Society10.4133","open","59004","5081","true","true"
"Society of Exploration Geophysicists (ID 186)","Society of Exploration Geophysicists10.7462","open","59004","5081","true","true"
"Society of Exploration Geophysicists (ID 186)","Society of Exploration Geophysicists10.1190","open","59004","5081","true","true"
"Society of Gastrointestinal Intervention (ID 7800)","Society of Gastrointestinal Intervention10.18528","open","114","81","true","true"
"Society of Korean Leprologists (ID 18654)","Society of Korean Leprologists10.33161","open","6","12","true","true"
"Society of Korean Medicine for Obesity Research (ID 6104)","Society of Korean Medicine for Obesity Research10.15429","open","81","30","true","true"
"Society of Nuclear Medicine (ID 1602)","Society of Nuclear Medicine10.2967","open","4803","937","false","true"
"Society of Psychoceramics (ID 17333)","Society of Psychoceramics10.32013","open","29","13","true","true"
"sofia - Society for Institutional Analysis (ID 25804)","Society for Institutional Analysis10.46850","open","168","10","true","false"
"Soil Science Society of Poland (ID 23731)","Soil Science Society of Poland10.37501","open","130","74","true","false"
"Solen s.r.o. (ID 21073)","Solen s.r.o.10.36290","open","1359","870","true","true"
"Soonchunhyang Medical Research Institute (ID 6426)","Soonchunhyang Medical Research Institute10.15746","open","359","66","true","true"
"Soong Sil University Institute for the Legal Studies (ID 21611)","Soong Sil University Institute for the Legal Studies10.35867","open","28","26","true","false"
"Sosyal Arastirmalar ve Yonetim Dergisi (ID 20811)","Sosyal Arastirmalar ve Yonetim Dergisi10.35375","open","5","12","true","true"
"Sosyal Bilimler Akademi Dergisi (ID 25056)","Sosyal Bilimler Akademi Dergisi10.38004","open","4","30","true","true"
"Sosyal Bilimler Dergisi (ID 17065)","Sosyal Bilimler Dergisi10.31834","open","44","26","true","true"
"Sosyal Bilimler Dergisi - Kayseri University Journal of Social Sciences (ID 28423)","Sosyal Bilimler Dergisi - Kayseri University Journal of Social Sciences10.51177","open","0","12","false","true"
"Sosyal Bilimler Dergisi, Istanbul Ticaret Universitesi (ID 26427)","Sosyal Bilimler Dergisi, Istanbul Ticaret Universitesi10.46928","open","0","54","false","true"
"Sosyal Ekonomik Arastirmalar Dergisi (ID 16064)","Sosyal Ekonomik Arastirmalar Dergisi10.30976","open","124","27","true","true"
"Sosyal Guvenlik Dergisi (ID 17368)","Sosyal Guvenlik Dergisi10.32331","open","24","50","true","true"
"Sosyolojik Baglam Dergisi (ID 29679)","Sosyolojik Baglam Dergisi10.52108","open","0","8","false","true"
"Sosyolojik Dusun (ID 25034)","Sosyolojik Dusun10.37991","open","0","9","false","true"
"South African National Biodiversity Institute (ID 24465)","South African National Biodiversity Institute10.38201","open","1950","46","true","true"
"South Kazakhstan Medical Academy (ID 26986)","South Kazakhstan Medical Academy10.47316","open","0","24","false","true"
"South Urals Federal Research Center for Mineralogy and Geoecology of the Urals Branch of the RAS (ID 21219)","South Urals Federal Research Center for Mineralogy and Geoecology of the Urals Branch of the RAS10.35597","open","0","58","false","true"
"Southeast Asia Mental Health and Counseling Association (ID 26010)","Southeast Asia Mental Health and Counseling Association10.46637","open","0","6","false","true"
"Southern Federal University (ID 7778)","Southern Federal University10.18522","open","728","1126","false","true"
"Southern Institute of Management (ID 16991)","Southern Institute of Management10.31775","open","252","130","true","true"
"Southern Methodist University (ID 10802)","Southern Methodist University10.25172","open","15","65","true","true"
"Southwest Jiaotong University (ID 21358)","Southwest Jiaotong University10.35741","open","0","504","false","true"
"Southwest State University (ID 9331)","Southwest State University10.21869","open","211","219","true","true"
"Southwest University Neofit Rilski (ID 23962)","Southwest University Neofit Rilski10.37708","open","147","262","true","true"
"Spanish Association of Mental Health Nursing (ID 21393)","Spanish Association of Mental Health Nursing10.35761","open","33","33","true","true"
"SPIE-Intl Soc Optical Eng (ID 189)","SPIE - International Society for Optical Engineering10.1117","open","506041","43024","true","true"
"SPIIRAS (ID 6268)","SPIIRAS10.15622","open","996","121","false","true"
"Spirc - I and D Lda (ID 20408)","Spirc - I and D Lda10.35252","open","0","31","false","true"
"Spormetre (ID 19454)","Spormetre10.33689","open","388","178","false","true"
"SPRI of Radiation Hygiene Prof. PV Ramzaev (ID 8955)","SPRI of Radiation Hygiene Prof. PV Ramzaev10.21514","open","111","115","true","true"
"SPRIDA (ID 9914)","SPRIDA10.22625","open","164","191","true","true"
"Springer Science and Business Media LLC (ID 297)","American Association of Pharmaceutical Scientists10.1208","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Canadian Public Health Association10.17269","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Genomic Standards Consortium10.4056","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Materials Research Society10.1557","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Society for Mining, Metallurgy & Exploration Inc.10.19150","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer (Biological Procedures Online)10.1251","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer (Biomed Central Ltd.)10.1186","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer (Kluwer Academic Publishers - Biomedical Engineering Society (BMES))10.1114","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer (Kluwer Academic Publishers)10.1023","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - (backfiles)10.5819","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Adis10.2165","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - ASM International10.1361","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Cell Stress Society International10.1379","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Ecomed Publishers10.1065","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - FD Communications10.1381","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Global Science Journals10.7603","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Humana Press10.1385","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Psychonomic Society10.3758","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Real Academia de Ciencias Exactas, Fisicas y Naturales10.5052","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - RILEM Publishing10.1617","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - Society of Surgical Oncology10.1245","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer - The Korean Society of Pharmaceutical Sciences and Technology10.4333","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.1013","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.33283","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.7123","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.1038","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.1057","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer Science and Business Media LLC10.3858","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer-Verlag10.1007","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","Springer-Verlag10.1140","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","SpringerNature10.26777","open","12433664","1521570","true","true"
"Springer Science and Business Media LLC (ID 297)","SpringerNature10.26778","open","12433664","1521570","true","true"
"Sri Siddhartha Medical College and Research Centre (ID 25520)","Sri Siddhartha Medical College and Research Centre10.46319","open","10","38","true","true"
"Srinivas University (ID 27798)","Srinivas University10.47992","open","58","82","true","true"
"St. Petersburg Electrotechnical University LETI (ID 15129)","St. Petersburg Electrotechnical University LETI10.32603","open","81","290","true","true"
"Staats- und Universitatsbibliothek Hamburg Carl von Ossietzky (ID 25426)","Staats- und Universitatsbibliothek Hamburg Carl von Ossietzky10.15460","open","1393","266","false","true"
"STAI Auliaurrasyidin Tembilahan (ID 26480)","STAI Auliaurrasyidin Tembilahan10.46963","open","26","161","false","true"
"STAR Scholars Network (ID 17589)","STAR Scholars Network10.32674","open","512","588","true","true"
"State Agrarian and Engineering University in Podilya (ID 23757)","State Agrarian and Engineering University in Podilya10.37406","open","26","29","true","true"
"State Archival Service of Ukraine (ID 26985)","State Archival Service of Ukraine10.47315","open","15","56","true","true"
"State Educational-Scientific Establishment The Academy of Financial Management (ID 19540)","State Educational-Scientific Establishment The Academy of Financial Management10.33763","open","158","305","true","true"
"State Institution - D. F. Chebotarev Institute of Gerontology NAMS of Ukraine (ID 27805)","State Institution - D. F. Chebotarev Institute of Gerontology NAMS of Ukraine10.47855","open","0","15","false","true"
"State Institution - Institute of regional research named after M.I. Dolishniy of NAS of Ukraine (ID 22868)","State Institution - Institute of regional research named after M.I. Dolishniy of NAS of Ukraine10.36818","open","0","229","false","true"
"State Institution National Antarctic Scientific Center, Ministry of Education and Science of Ukraine (ID 18832)","State Institution National Antarctic Scientific Center, Ministry of Education and Science of Ukraine10.33275","open","376","60","true","true"
"State Institution of Science Research and Practical Center (ID 16424)","State Institution of Science Research and Practical Center10.31612","open","25","93","false","true"
"State Museum of Natural History (ID 22961)","State Museum of Natural History10.36885","open","38","45","true","true"
"State Public Scientific Technological Library SB RAS (ID 8494)","State Public Scientific Technological Library SB RAS10.20913","open","573","355","true","true"
"State Public Scientific-Technical Library (ID 18655)","State Public Scientific-Technical Library10.33186","open","393","329","true","true"
"State Scientific Institution - Ukrainian Institute of Scientific and Technical Expertise and Info (ID 19073)","State Scientific Institution - Ukrainian Institute of Scientific and Technical Expertise and Info10.35668","open","2","90","false","true"
"State Scientific Research Control Institute of Veterinary Medicinal Products and Feed Additives (ID 22203)","State Scientific Research Control Institute of Veterinary Medicinal Products and Feed Additives10.36359","open","0","125","false","true"
"State University Luhansk Taras Shevchenko National University (ID 5662)","State Institution Luhansk Taras Shevchenko National University10.12958","open","27","783","true","false"
"State University of Aerospace Instrumentation (SUAI) (ID 17033)","State University of Aerospace Instrumentation (SUAI)10.31799","open","315","351","true","true"
"State University of Infrastructure and Technologies (ID 17948)","State University of Infrastructure and Technologies10.32703","open","197","166","true","true"
"State University of Infrastructure and Technology (ID 18321)","State University of Infrastructure and Technology10.33298","open","1","67","true","true"
"State University of Management (ID 10959)","State University of Management10.26425","open","670","954","true","true"
"Stavanger University Library (ID 14883)","Stavanger University Library10.31265","open","160","117","true","true"
"Stg ReAttach Therapy International Foundation (ID 19221)","Stg ReAttach Therapy International Foundation10.26407","open","12","26","false","true"
"STIA Lan Bandung (ID 16055)","STIA Lan Bandung10.31113","open","44","40","true","true"
"Stichting SciPost (ID 8907)","Stichting SciPost10.21468","open","835","1724","true","true"
"STIE Malang Kucecwara (ID 17248)","STIE Malang Kucecwara10.31966","open","11","38","true","false"
"STIKES Bina Usada Bali (ID 22373)","STIKES Bina Usada Bali10.36474","open","44","33","false","true"
"STIKOM Bali (ID 12313)","STIKOM Bali10.30864","open","10","108","false","true"
"STMIK Bumigora Mataram (ID 12267)","STMIK Bumigora Mataram10.30812","open","108","235","true","true"
"STMIK Sinar Nusantara Surakarta (ID 12088)","STMIK Sinar Nusantara Surakarta10.30646","open","44","87","true","false"
"STMIK STIKOM Indonesia (ID 16718)","STMIK STIKOM Indonesia10.31598","open","126","108","true","false"
"STMIK Subang (ID 27352)","STMIK Subang10.47561","open","0","26","false","true"
"Stockholm University Press (ID 6601)","Stockholm University Press10.16993","open","1310","293","true","true"
"Stolichnaya Izdatelskaya Kompaniyaizdat (ID 8599)","Stolichnaya Izdatelskaya Kompaniyaizdat10.20996","open","1344","282","true","true"
"Stomatology for All - International Dental Review (ID 21174)","Stomatology for All - International Dental Review10.35556","open","0","76","false","true"
"Stowarzyszenie Filozofii Prawa i Filozofii Spolecznej - Sekcja Polska IVR (ID 22009)","Stowarzyszenie Filozofii Prawa i Filozofii Spolecznej - Sekcja Polska IVR10.36280","open","26","91","true","true"
"Stowarzyszenie Inzynierow i Technikow Komunikacji RP (ID 20089)","Stowarzyszenie Inzynierow i Technikow Komunikacji RP10.35117","open","213","65","true","true"
"Stowarzyszenie Menedzerow Jakosci i Produkcji (ID 12128)","Stowarzyszenie Menedzerow Jakosci i Produkcji10.30657","open","361","164","true","true"
"Strategy of the Future (ID 23853)","Strategy of the Future10.37468","open","13","60","true","true"
"Stratejik ve Sosyal Arastirmalar Dergisi (ID 12142)","Stratejik ve Sosyal Arastirmalar Dergisi10.30692","open","31","79","true","true"
"Structurae (ID 10529)","Structurae10.24904","open","164","0","true","false"
"Studia Bobolanum, Pontifical Faculty of Theology in Warsaw Collegium Bobolanum (ID 23406)","Studia Bobolanum, Pontifical Faculty of Theology in Warsaw Collegium Bobolanum10.30439","open","46","43","true","true"
